id,require_review
imsar_accounting.houdini2,True
imsar_accounting.hawkeye2,True
imsar_accounting.future_dod,True
imsar_accounting.future_deployment,True
imsar_accounting.darpa_hotspot,True
imsar_accounting.fair_weather,True
imsar_accounting.future_non_dod,True
imsar_accounting.imsar_aviation,True
imsar_accounting.aviant,True
imsar_accounting.tagsmyth,True
imsar_accounting.japan1,True
imsar_accounting.future_commercial,True
imsar_accounting.future_retail,True
imsar_accounting.wolverine,True
imsar_accounting.raphael2,True
imsar_accounting.lisa3d,True
imsar_accounting.future_irad,True
imsar_accounting.gna_labor,True
imsar_accounting.benefit_admin,True
imsar_accounting.erp_impl,True
imsar_accounting.equip_labor,True
imsar_accounting.govt_compliance,True
imsar_accounting.it_labor,True
imsar_accounting.leased_labor,True
imsar_accounting.mgmt_labor,True
imsar_accounting.meeting_labor,True
imsar_accounting.packing_shipping_labor,True
imsar_accounting.procurement_labor,True
imsar_accounting.recruiting_labor,True
imsar_accounting.relocation_bonus,True
imsar_accounting.tech_writing_labor,True
imsar_accounting.training_labor,True
imsar_accounting.travel_labor,True
imsar_accounting.pto,True
imsar_accounting.idle_time,True
imsar_accounting.holiday,True
imsar_accounting.general_unallowable,True
