id,routing_line_id/id,account_analytic_id/id,account_id/id
houdini2_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.houdini2,imsar_accounting.411010
hawkeye2_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.hawkeye2,imsar_accounting.411010
future_dod_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.future_dod,imsar_accounting.411010
future_depl_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.future_deployment,imsar_accounting.412210
darpa_hotspot_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.darpa_hotspot,imsar_accounting.412010
fair_weather_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.fair_weather,imsar_accounting.412010
future_non_dod_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.future_non_dod,imsar_accounting.412010
imsar_aviation_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.imsar_aviation,imsar_accounting.412120
aviant_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.aviant,imsar_accounting.412120
tagsmyth_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.tagsmyth,imsar_accounting.412120
japan1_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.japan1,imsar_accounting.412020
future_comm_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.future_commercial,imsar_accounting.412110
future_retail_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.future_retail,imsar_accounting.412110
,,,
houdini2_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.houdini2,imsar_accounting.413010
hawkeye2_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.hawkeye2,imsar_accounting.413010
future_dod_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.future_dod,imsar_accounting.413010
future_depl_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.future_deployment,imsar_accounting.413060
darpa_hotspot_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.darpa_hotspot,imsar_accounting.413020
fair_weather_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.fair_weather,imsar_accounting.413020
future_non_dod_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.future_non_dod,imsar_accounting.413020
imsar_aviation_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.imsar_aviation,imsar_accounting.413050
aviant_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.aviant,imsar_accounting.413050
tagsmyth_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.tagsmyth,imsar_accounting.413050
japan1_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.japan1,imsar_accounting.413030
future_comm_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.future_commercial,imsar_accounting.413040
