id,name,parent_id,type,description,is_labor_code,dcaa_allowable,overtime_account/id,color,linked_worktype
aa_financial,Financial,,view,Financial,,,,,
aa_balance_sheet,Balance Sheet,Financial,view,Balance Sheet,,,,,
aa_raw_materials,Raw Materials,Balance Sheet,view,Raw Materials,,,,,
aa_rm1,RM1 - INVENTORY RECEIVED - NOT INVOICED,Raw Materials,normal,RM1 - INVENTORY RECEIVED - NOT INVOICED,,1,,,
aa_rm2,RM2 - CAGE MATERIALS,Raw Materials,normal,RM2 - CAGE MATERIALS,,1,,,
aa_rm3,RM3 – TOWER PARTS,Raw Materials,normal,RM3 – TOWER PARTS,,1,,,
aa_asset_group,Asset Group,Balance Sheet,view,Asset Group,,,,,
aa_fa1,FA1 - ENGINEERING,Asset Group,normal,FA1 - ENGINEERING,,1,,,
aa_fa2,FA2 - FACILITIES,Asset Group,normal,FA2 - FACILITIES,,1,,,
aa_fa3,FA3 - G&A,Asset Group,normal,FA3 - G&A,,1,,,
aa_fa4,FA4 - MANUFACTURING,Asset Group,normal,FA4 - MANUFACTURING,,1,,,
aa_pnl,PnL,Financial,view,PnL,,,,,
aa_contracts,Contracts,PnL,view,Contracts,,,,navy,
aa_dod_contracts,DoD Contracts,Contracts,view,DoD Contracts,,,,,
aa_8-6,8-6 VISNAV,DoD Contracts,contract,Support Vis Nav project by building cables to integrate into pod and performing flight services.,1,1,account_5111185,,
aa_8-7,8-7 VISNAV DEMO,DoD Contracts,contract,Support Vis Nav project by demonstrating in maritime environment and at Dugway Proving Grounds.,1,1,account_5111185,,
aa_31-2,31-2 SNIPER LE,DoD Contracts,contract,Conduct Pilot Training. You must read the attached TO0002.pdf file.,1,1,,,
aa_31-5,31-5 BISTATIC,DoD Contracts,contract,Study and test bistatic SAR configuration. You must read the attached TO0005.docx file.,1,1,,,
aa_31-7_view,31-7 SHADRACH III Overview,DoD Contracts,view,Shadrach Deployment,,,,,
aa_31-7,31-7 SHADRACH III,31-7 SHADRACH III Overview,contract,Shadrach Deployment. You must read the attached ShadrachIII.pdf in the main project.,1,1,,,
aa_31-7a,31-7a SHADRACH III - OCONUS LABOR,31-7 SHADRACH III Overview,contract,Shadrach Deployment. You must read the attached ShadrachIII.pdf in the main project.,1,1,,,Danger
aa_31-7a2,31-7a SHADRACH III - COMPLETED PRODUCT - TAGGED,31-7 SHADRACH III Overview,contract,31-7a SHADRACH III - COMPLETED PRODUCT - TAGGED,,1,,,
aa_31-7b,31-7b SHADRACH III - INFORMATION ASSURANCE LABOR,31-7 SHADRACH III Overview,contract,Shadrach Deployment. You must read the attached ShadrachIII.pdf in the main project.,1,1,,,
aa_31-7b2,31-7b SHADRACH III - SUB-ASSEMBLIES,31-7 SHADRACH III Overview,contract,31-7b SHADRACH III - SUB-ASSEMBLIES,,1,,,
aa_31-7c,31-7c SHADRACH III - CONSUMABLES,31-7 SHADRACH III Overview,contract,31-7c SHADRACH III - CONSUMABLES,,1,,,
aa_31-7c2,31-7c SHADRACH III - CONTRACTOR ACCOMODATIONS,31-7 SHADRACH III Overview,contract,31-7c SHADRACH III - CONTRACTOR ACCOMODATIONS,,1,,,
aa_31-7d,31-7d SHADRACH III -  CONUS DEPLOYMENT LABOR,31-7 SHADRACH III Overview,contract,Shadrach Deployment. You must read the attached ShadrachIII.pdf in the main project.,1,1,,,
aa_31-7d2,31-7d SHADRACH III - DEPLOYMENT,31-7 SHADRACH III Overview,contract,31-7d SHADRACH III - DEPLOYMENT,,1,,,
aa_31-7e,31-7e SHADRACH III - ENGINEERING SUPPORT LABOR,31-7 SHADRACH III Overview,contract,Shadrach Deployment. You must read the attached ShadrachIII.pdf in the main project.,1,1,,,
aa_31-8_view,31-8 HOUDINI II Overview,DoD Contracts,view,Ultra Wide Band Radar Enhancements,,,,,
aa_31-8,31-8 HOUDINI II,31-8 HOUDINI II Overview,contract,Ultra Wide Band Radar Enhancements. You must read the attached to8SOW.pdf in the main project.,1,1,,,
aa_31-8a,31-8a HOUDINI II - COMPLETED PRODUCT - TAGGED,31-8 HOUDINI II Overview,contract,31-8a HOUDINI II - COMPLETED PRODUCT - TAGGED,,1,,,
aa_31-8b,31-8b HOUDINI II - SUB-ASSEMBLIES,31-8 HOUDINI II Overview,contract,31-8b HOUDINI II - SUB-ASSEMBLIES,,1,,,
aa_31-8c,31-8c HOUDINI II - CONSUMABLES,31-8 HOUDINI II Overview,contract,31-8c HOUDINI II - CONSUMABLES,,1,,,
aa_31-8d,31-8d HOUDINI II - DEPLOYMENT,31-8 HOUDINI II Overview,contract,31-8d HOUDINI II - DEPLOYMENT,,1,,,
aa_31-9_view,31-9 SHADRACH IV Overview,DoD Contracts,view,ShadowSAR deployment extension,,,,,
aa_31-9,31-9 SHADRACH IV,31-9 SHADRACH IV Overview,contract,ShadowSAR deployment extension. You must read the attached shadowsar4.pdf file in the main project.,1,1,,,
aa_31-9a,31-9a SHADRACH IV - CONUS DEPLOYMENT LABOR,31-9 SHADRACH IV Overview,contract,ShadowSAR deployment extension. You must read the attached shadowsar4.pdf file in the main project.,1,1,,,
aa_31-9a2,31-9a SHADRACH IV - COMPLETED PRODUCT - TAGGED,31-9 SHADRACH IV Overview,contract,31-9a SHADRACH IV - COMPLETED PRODUCT - TAGGED,,1,,,
aa_31-9b,31-9b SHADRACH IV - INFORMATION ASSURANCE LABOR,31-9 SHADRACH IV Overview,contract,ShadowSAR deployment extension. You must read the attached shadowsar4.pdf file in the main project.,1,1,,,
aa_31-9b2,31-9b SHADRACH IV - SUB-ASSEMBLIES,31-9 SHADRACH IV Overview,contract,31-9b SHADRACH IV - SUB-ASSEMBLIES,,1,,,
aa_31-9c,31-9c SHADRACH IV - CONSUMABLES,31-9 SHADRACH IV Overview,contract,31-9c SHADRACH IV - CONSUMABLES,,1,,,
aa_31-9c2,31-9c SHADRACH IV - CONTRACTOR ACCOMODATIONS,31-9 SHADRACH IV Overview,contract,31-9c SHADRACH IV - CONTRACTOR ACCOMODATIONS,,1,,,
aa_31-9d,31-9d SHADRACH IV - OCONUS/DEPLOYMENT,31-9 SHADRACH IV Overview,contract,ShadowSAR deployment extension. You must read the attached shadowsar4.pdf file in the main project.,1,1,,,Danger
aa_31-9e,31-9e SHADRACH IV - ENGINEERING SUPPORT LABOR,31-9 SHADRACH IV Overview,contract,ShadowSAR deployment extension. You must read the attached shadowsar4.pdf file in the main project.,1,1,,,
