id,routing_id/id,account_type_id/id,section_ids/id
arl_assets_asset,ar_assets,account.data_account_type_asset,"account_routing.ar_section_sale,account_routing.ar_section_purchase"
arl_revenue_services,ar_revenue,atype_services,account_routing.ar_section_sale
arl_revenue_prod_sales,ar_revenue,atype_product_sales,account_routing.ar_section_sale
arl_revenue_parts_sales,ar_revenue,atype_parts_sales,account_routing.ar_section_sale
arl_revenue_leases,ar_revenue,atype_leases,account_routing.ar_section_sale
arl_contract_labor,ar_contracts,atype_labor,imsar_timekeeping.ar_section_timekeeping
arl_contract_mats,ar_contracts,atype_materials,"account_routing.ar_section_purchase,imsar_wms_mrp.ar_section_mrp"
arl_contract_travel,ar_contracts,atype_travel,"account_routing.ar_section_purchase,imsar_wms_mrp.ar_section_mrp"
arl_contract_travel_owner,ar_contracts,atype_travel_owner,"account_routing.ar_section_purchase,imsar_wms_mrp.ar_section_mrp"
arl_contract_subs_external,ar_contracts,atype_subs_ext,"account_routing.ar_section_purchase,imsar_wms_mrp.ar_section_mrp"
arl_contract_subs_interco,ar_contracts,atype_subs_interco,"account_routing.ar_section_purchase,imsar_wms_mrp.ar_section_mrp"
arl_contract_other,ar_contracts,atype_other,"account_routing.ar_section_purchase,imsar_wms_mrp.ar_section_mrp"
arl_engoh_labor,ar_engoh,atype_labor,imsar_timekeeping.ar_section_timekeeping
arl_engoh_mats,ar_engoh,atype_materials,"account_routing.ar_section_purchase,imsar_wms_mrp.ar_section_mrp"
arl_engoh_travel,ar_engoh,atype_travel,"account_routing.ar_section_purchase,imsar_wms_mrp.ar_section_mrp"
arl_engoh_travel_owner,ar_engoh,atype_travel_owner,"account_routing.ar_section_purchase,imsar_wms_mrp.ar_section_mrp"
arl_engoh_subs,ar_engoh,atype_subs,"account_routing.ar_section_purchase,imsar_wms_mrp.ar_section_mrp"
arl_engoh_other,ar_engoh,atype_other,"account_routing.ar_section_purchase,imsar_wms_mrp.ar_section_mrp"
arl_mfgd_labor,ar_mfgdirect,atype_labor,imsar_timekeeping.ar_section_timekeeping
arl_mfgd_mats,ar_mfgdirect,atype_materials,"account_routing.ar_section_purchase,imsar_wms_mrp.ar_section_mrp"
arl_mfgd_travel,ar_mfgdirect,atype_travel,"account_routing.ar_section_purchase,imsar_wms_mrp.ar_section_mrp"
arl_mfgd_travel_owner,ar_mfgdirect,atype_travel_owner,"account_routing.ar_section_purchase,imsar_wms_mrp.ar_section_mrp"
arl_mfgd_subs,ar_mfgdirect,atype_subs,"account_routing.ar_section_purchase,imsar_wms_mrp.ar_section_mrp"
arl_mfgd_other,ar_mfgdirect,atype_other,"account_routing.ar_section_purchase,imsar_wms_mrp.ar_section_mrp"
arl_mfgoh_labor,ar_mfgoh,atype_labor,imsar_timekeeping.ar_section_timekeeping
arl_mfgoh_mats,ar_mfgoh,atype_materials,"account_routing.ar_section_purchase,imsar_wms_mrp.ar_section_mrp"
arl_mfgoh_travel,ar_mfgoh,atype_travel,"account_routing.ar_section_purchase,imsar_wms_mrp.ar_section_mrp"
arl_mfgoh_travel_owner,ar_mfgoh,atype_travel_owner,"account_routing.ar_section_purchase,imsar_wms_mrp.ar_section_mrp"
arl_mfgoh_subs,ar_mfgoh,atype_subs,"account_routing.ar_section_purchase,imsar_wms_mrp.ar_section_mrp"
arl_mfgoh_other,ar_mfgoh,atype_other,"account_routing.ar_section_purchase,imsar_wms_mrp.ar_section_mrp"
arl_irad_labor,ar_irad,atype_labor,imsar_timekeeping.ar_section_timekeeping
